Cap(theor-act): [  6.149e-04 -   6.147e-04 =   1.332e-07] | Step Loss (=Cap/k_fit): [  0.005] | Gains(P,I,D): [3.80e-01, 0.00e+00, 1.00e-01] | PID_Out(P+I+D): [ 0.0017 + -0.0000 +  0.0014 =    +0.0031] @ 2026-02-18 20:37:24.306496 @ Step [7.9707e-01/1.0000e+00]
Cap(theor-act): [  6.149e-04 -   6.137e-04 =   1.140e-06] | Step Loss (=Cap/k_fit): [  0.039] | Gains(P,I,D): [3.80e-01, 0.00e+00, 1.00e-01] | PID_Out(P+I+D): [ 0.0148 + -0.0000 +  0.0069 =    +0.0217] @ 2026-02-18 20:37:24.933106 @ Step [8.1873e-01/1.0000e+00]
Cap(theor-act): [  6.149e-04 -   6.147e-04 =   1.332e-07] | Step Loss (=Cap/k_fit): [  0.005] | Gains(P,I,D): [3.80e-01, 0.00e+00, 1.00e-01] | PID_Out(P+I+D): [ 0.0017 + -0.0000 + -0.0069 =    -0.0051] @ 2026-02-18 20:37:25.550724 @ Step [8.1359e-01/1.0000e+00]
Cap(theor-act): [  6.149e-04 -   6.150e-04 =  -1.688e-07] | Step Loss (=Cap/k_fit): [ -0.006] | Gains(P,I,D): [3.80e-01, 0.00e+00, 1.00e-01] | PID_Out(P+I+D): [-0.0022 + -0.0000 + -0.0021 =    -0.0043] @ 2026-02-18 20:37:26.169716 @ Step [8.0934e-01/1.0000e+00]
Cap(theor-act): [  6.149e-04 -   6.153e-04 =  -4.708e-07] | Step Loss (=Cap/k_fit): [ -0.016] | Gains(P,I,D): [3.80e-01, 0.00e+00, 1.00e-01] | PID_Out(P+I+D): [-0.0061 + -0.0000 + -0.0021 =    -0.0082] @ 2026-02-18 20:37:26.794881 @ Step [8.0117e-01/1.0000e+00]
Cap(theor-act): [  6.149e-04 -   6.140e-04 =   8.382e-07] | Step Loss (=Cap/k_fit): [  0.029] | Gains(P,I,D): [3.80e-01, 0.00e+00, 1.00e-01] | PID_Out(P+I+D): [ 0.0109 + -0.0000 +  0.0089 =    +0.0198] @ 2026-02-18 20:37:27.415784 @ Step [8.2098e-01/1.0000e+00]
Cap(theor-act): [  6.149e-04 -   6.144e-04 =   4.352e-07] | Step Loss (=Cap/k_fit): [  0.015] | Gains(P,I,D): [3.80e-01, 0.00e+00, 1.00e-01] | PID_Out(P+I+D): [ 0.0056 + -0.0000 + -0.0028 =    +0.0029] @ 2026-02-18 20:37:28.040942 @ Step [8.2387e-01/1.0000e+00]
Cap(theor-act): [  6.149e-04 -   6.143e-04 =   5.362e-07] | Step Loss (=Cap/k_fit): [  0.018] | Gains(P,I,D): [3.80e-01, 0.00e+00, 1.00e-01] | PID_Out(P+I+D): [ 0.0070 + -0.0000 +  0.0007 =    +0.0076] @ 2026-02-18 20:37:28.669045 @ Step [8.3151e-01/1.0000e+00]
Cap(theor-act): [  6.149e-04 -   6.155e-04 =  -6.718e-07] | Step Loss (=Cap/k_fit): [ -0.023] | Gains(P,I,D): [3.80e-01, 0.00e+00, 1.00e-01] | PID_Out(P+I+D): [-0.0087 + -0.0000 + -0.0082 =    -0.0170] @ 2026-02-18 20:37:29.302259 @ Step [8.1456e-01/1.0000e+00]
Cap(theor-act): [  6.149e-04 -   6.148e-04 =   3.322e-08] | Step Loss (=Cap/k_fit): [  0.001] | Gains(P,I,D): [3.80e-01, 0.00e+00, 1.00e-01] | PID_Out(P+I+D): [ 0.0004 + -0.0000 +  0.0048 =    +0.0052] @ 2026-02-18 20:37:29.922487 @ Step [8.1980e-01/1.0000e+00]
Cap(theor-act): [  6.149e-04 -   6.162e-04 =  -1.377e-06] | Step Loss (=Cap/k_fit): [ -0.047] | Gains(P,I,D): [3.80e-01, 0.00e+00, 1.00e-01] | PID_Out(P+I+D): [-0.0179 + -0.0000 + -0.0096 =    -0.0275] @ 2026-02-18 20:37:30.543400 @ Step [7.9232e-01/1.0000e+00]
Cap(theor-act): [  6.149e-04 -   6.154e-04 =  -5.708e-07] | Step Loss (=Cap/k_fit): [ -0.019] | Gains(P,I,D): [3.80e-01, 0.00e+00, 1.00e-01] | PID_Out(P+I+D): [-0.0074 + -0.0000 +  0.0055 =    -0.0019] @ 2026-02-18 20:37:31.175768 @ Step [7.9042e-01/1.0000e+00]
Cap(theor-act): [  6.149e-04 -   6.147e-04 =   1.332e-07] | Step Loss (=Cap/k_fit): [  0.005] | Gains(P,I,D): [3.80e-01, 0.00e+00, 1.00e-01] | PID_Out(P+I+D): [ 0.0017 + -0.0000 +  0.0048 =    +0.0065] @ 2026-02-18 20:37:31.808738 @ Step [7.9695e-01/1.0000e+00]
Cap(theor-act): [  6.149e-04 -   6.153e-04 =  -4.708e-07] | Step Loss (=Cap/k_fit): [ -0.016] | Gains(P,I,D): [3.80e-01, 0.00e+00, 1.00e-01] | PID_Out(P+I+D): [-0.0061 + -0.0000 + -0.0041 =    -0.0102] @ 2026-02-18 20:37:32.436122 @ Step [7.8673e-01/1.0000e+00]
Cap(theor-act): [  6.149e-04 -   6.151e-04 =  -2.698e-07] | Step Loss (=Cap/k_fit): [ -0.009] | Gains(P,I,D): [3.80e-01, 0.00e+00, 1.00e-01] | PID_Out(P+I+D): [-0.0035 + -0.0000 +  0.0014 =    -0.0021] @ 2026-02-18 20:37:33.064849 @ Step [7.8460e-01/1.0000e+00]
Cap(theor-act): [  6.149e-04 -   6.143e-04 =   5.362e-07] | Step Loss (=Cap/k_fit): [  0.018] | Gains(P,I,D): [3.80e-01, 0.00e+00, 1.00e-01] | PID_Out(P+I+D): [ 0.0070 + -0.0000 +  0.0055 =    +0.0125] @ 2026-02-18 20:37:33.683289 @ Step [7.9705e-01/1.0000e+00]
Cap(theor-act): [  6.149e-04 -   6.163e-04 =  -1.478e-06] | Step Loss (=Cap/k_fit): [ -0.050] | Gains(P,I,D): [3.80e-01, 0.00e+00, 1.00e-01] | PID_Out(P+I+D): [-0.0192 + -0.0000 + -0.0137 =    -0.0329] @ 2026-02-18 20:37:34.318054 @ Step [7.6414e-01/1.0000e+00]
Cap(theor-act): [  6.149e-04 -   6.142e-04 =   6.372e-07] | Step Loss (=Cap/k_fit): [  0.022] | Gains(P,I,D): [3.80e-01, 0.00e+00, 1.00e-01] | PID_Out(P+I+D): [ 0.0083 + -0.0000 +  0.0144 =    +0.0227] @ 2026-02-18 20:37:34.936591 @ Step [7.8684e-01/1.0000e+00]
Cap(theor-act): [  6.149e-04 -   6.150e-04 =  -1.688e-07] | Step Loss (=Cap/k_fit): [ -0.006] | Gains(P,I,D): [3.80e-01, 0.00e+00, 1.00e-01] | PID_Out(P+I+D): [-0.0022 + -0.0000 + -0.0055 =    -0.0077] @ 2026-02-18 20:37:35.558788 @ Step [7.7915e-01/1.0000e+00]
Cap(theor-act): [  6.149e-04 -   6.140e-04 =   8.382e-07] | Step Loss (=Cap/k_fit): [  0.029] | Gains(P,I,D): [3.80e-01, 0.00e+00, 1.00e-01] | PID_Out(P+I+D): [ 0.0109 + -0.0000 +  0.0069 =    +0.0177] @ 2026-02-18 20:37:36.178202 @ Step [7.9690e-01/1.0000e+00]
Cap(theor-act): [  6.149e-04 -   6.142e-04 =   6.372e-07] | Step Loss (=Cap/k_fit): [  0.022] | Gains(P,I,D): [3.80e-01, 0.00e+00, 1.00e-01] | PID_Out(P+I+D): [ 0.0083 + -0.0000 + -0.0014 =    +0.0069] @ 2026-02-18 20:37:36.795406 @ Step [8.0379e-01/1.0000e+00]
Cap(theor-act): [  6.149e-04 -   6.156e-04 =  -7.728e-07] | Step Loss (=Cap/k_fit): [ -0.026] | Gains(P,I,D): [3.80e-01, 0.00e+00, 1.00e-01] | PID_Out(P+I+D): [-0.0100 + -0.0000 + -0.0096 =    -0.0196] @ 2026-02-18 20:37:37.418418 @ Step [7.8414e-01/1.0000e+00]
Cap(theor-act): [  6.149e-04 -   6.140e-04 =   8.382e-07] | Step Loss (=Cap/k_fit): [  0.029] | Gains(P,I,D): [3.80e-01, 0.00e+00, 1.00e-01] | PID_Out(P+I+D): [ 0.0109 + -0.0000 +  0.0110 =    +0.0219] @ 2026-02-18 20:37:38.041037 @ Step [8.0601e-01/1.0000e+00]
Cap(theor-act): [  6.149e-04 -   6.147e-04 =   1.332e-07] | Step Loss (=Cap/k_fit): [  0.005] | Gains(P,I,D): [3.80e-01, 0.00e+00, 1.00e-01] | PID_Out(P+I+D): [ 0.0017 + -0.0000 + -0.0048 =    -0.0031] @ 2026-02-18 20:37:38.671866 @ Step [8.0293e-01/1.0000e+00]
Cap(theor-act): [  6.149e-04 -   6.154e-04 =  -5.708e-07] | Step Loss (=Cap/k_fit): [ -0.019] | Gains(P,I,D): [3.80e-01, 0.00e+00, 1.00e-01] | PID_Out(P+I+D): [-0.0074 + -0.0000 + -0.0048 =    -0.0122] @ 2026-02-18 20:37:39.294987 @ Step [7.9072e-01/1.0000e+00]
Cap(theor-act): [  6.149e-04 -   6.145e-04 =   3.352e-07] | Step Loss (=Cap/k_fit): [  0.011] | Gains(P,I,D): [3.80e-01, 0.00e+00, 1.00e-01] | PID_Out(P+I+D): [ 0.0043 + -0.0000 +  0.0062 =    +0.0105] @ 2026-02-18 20:37:39.914430 @ Step [8.0125e-01/1.0000e+00]
Cap(theor-act): [  6.149e-04 -   6.156e-04 =  -7.728e-07] | Step Loss (=Cap/k_fit): [ -0.026] | Gains(P,I,D): [3.80e-01, 0.00e+00, 1.00e-01] | PID_Out(P+I+D): [-0.0100 + -0.0000 + -0.0076 =    -0.0176] @ 2026-02-18 20:37:40.534589 @ Step [7.8366e-01/1.0000e+00]
Cap(theor-act): [  6.149e-04 -   6.144e-04 =   4.352e-07] | Step Loss (=Cap/k_fit): [  0.015] | Gains(P,I,D): [3.80e-01, 0.00e+00, 1.00e-01] | PID_Out(P+I+D): [ 0.0056 + -0.0000 +  0.0082 =    +0.0139] @ 2026-02-18 20:37:41.155966 @ Step [7.9755e-01/1.0000e+00]
Cap(theor-act): [  6.149e-04 -   6.141e-04 =   7.382e-07] | Step Loss (=Cap/k_fit): [  0.025] | Gains(P,I,D): [3.80e-01, 0.00e+00, 1.00e-01] | PID_Out(P+I+D): [ 0.0096 + -0.0000 +  0.0021 =    +0.0116] @ 2026-02-18 20:37:41.781359 @ Step [8.0920e-01/1.0000e+00]
Cap(theor-act): [  6.149e-04 -   6.146e-04 =   2.342e-07] | Step Loss (=Cap/k_fit): [  0.008] | Gains(P,I,D): [3.80e-01, 0.00e+00, 1.00e-01] | PID_Out(P+I+D): [ 0.0030 + -0.0000 + -0.0034 =    -0.0004] @ 2026-02-18 20:37:42.404247 @ Step [8.0879e-01/1.0000e+00]
