>> note = "20MHZ, 200mVpp, 100mVdc, time_const 30ms, sen 300uV rms, VDD 2.5, 2/12/2026; test scan 32 microsteps"

note =

    "20MHZ, 200mVpp, 100mVdc, time_const 30ms, sen 300uV rms, VDD 2.5, 2/12/2026; test scan 32 microsteps"

[LOG] goTo_fit (scan version): wait_time=10.0000 s
[LOG] SCAN_PART Channel               : R
[LOG] SCAN_PART_1 (Forward 193 points) : k1 = 8.242e-06, b1 = 1.648e-04
[LOG] SCAN_PART_2 (Backward 193 points): k2 = 8.164e-06, b2 = 1.655e-04
[LOG] SCAN_TOTAL  (Symmetric)         : k_total = 8.203e-06, b_total = 1.652e-04
[LOG] HYSTERESIS_AVG: Mean Delta_Cap  (dy) = 3.410e-07
[LOG] HYSTERESIS_AVG: Mean Delta_Step (dx) = 0.0416 steps
(3.500000, 1.944170e-04)
(3.468750, 1.943570e-04)
(3.437500, 1.941150e-04)
(3.406250, 1.938940e-04)
(3.375000, 1.935310e-04)
(3.343750, 1.935110e-04)
(3.312500, 1.929470e-04)
(3.281250, 1.922020e-04)
(3.250000, 1.919100e-04)
(3.218750, 1.912950e-04)
(3.187500, 1.910440e-04)
(3.156250, 1.905200e-04)
(3.125000, 1.901980e-04)
(3.093750, 1.902080e-04)
(3.062500, 1.902880e-04)
(3.031250, 1.902280e-04)
(3.000000, 1.899660e-04)
(2.968750, 1.903590e-04)
(2.937500, 1.901680e-04)
(2.906250, 1.896740e-04)
(2.875000, 1.897650e-04)
(2.843750, 1.893620e-04)
(2.812500, 1.894020e-04)
(2.781250, 1.885160e-04)
(2.750000, 1.879120e-04)
(2.718750, 1.878310e-04)
(2.687500, 1.871060e-04)
(2.656250, 1.866330e-04)
(2.625000, 1.858570e-04)
(2.593750, 1.859380e-04)
(2.562500, 1.853540e-04)
(2.531250, 1.853840e-04)
(2.500000, 1.853230e-04)
(2.468750, 1.853540e-04)
(2.437500, 1.853130e-04)
(2.406250, 1.850920e-04)
(2.375000, 1.849610e-04)
(2.343750, 1.846690e-04)
(2.312500, 1.843160e-04)
(2.281250, 1.841450e-04)
(2.250000, 1.833500e-04)
(2.218750, 1.828960e-04)
(2.187500, 1.831880e-04)
(2.156250, 1.823830e-04)
(2.125000, 1.824330e-04)
(2.093750, 1.823220e-04)
(2.062500, 1.821210e-04)
(2.031250, 1.818490e-04)
(2.000000, 1.817380e-04)
