[LOG] SCAN_PART Channel               : R
[LOG] SCAN_PART_1 (Forward 15 points) : k1 = 2.911e-05,	b1 = 5.846e-04
[LOG] SCAN_PART_2 (Backward 15 points): k2 = 2.903e-05,	b2 = 5.853e-04
[LOG] SCAN_TOTAL  (Symmetric)         : k_total = 2.907e-05,	b_total = 5.850e-04
[LOG] HYSTERESIS_AVG: Mean Delta_Cap  (dy) = 7.319e-07
[LOG] HYSTERESIS_AVG: Mean Delta_Step (dx) = 0.0252 steps
Cap(theor-act): [  6.195e-04 -   6.144e-04 =   5.061e-06] | Step Loss (=Cap/k_fit): [  0.174] | Gains(P,I,D): [4.50e-01, 2.00e-03, 1.00e-01] | PID_Out(P+I+D): [ 0.0783 +  0.0025 +  0.0125 =    +0.0933] @ 2026-02-16 18:52:12.430582 @ Step [1.2007e+00/1.1875e+00]
Cap(theor-act): [  6.195e-04 -   6.178e-04 =   1.738e-06] | Step Loss (=Cap/k_fit): [  0.060] | Gains(P,I,D): [4.50e-01, 2.00e-03, 1.00e-01] | PID_Out(P+I+D): [ 0.0269 +  0.0026 + -0.0229 =    +0.0066] @ 2026-02-16 18:52:13.115597 @ Step [1.2073e+00/1.1875e+00]
Cap(theor-act): [  6.213e-04 -   6.174e-04 =   3.958e-06] | Step Loss (=Cap/k_fit): [  0.136] | Gains(P,I,D): [4.50e-01, 2.00e-03, 1.00e-01] | PID_Out(P+I+D): [ 0.0613 +  0.0027 +  0.0153 =    +0.0792] @ 2026-02-16 18:52:13.812504 @ Step [1.2865e+00/1.2500e+00]
Cap(theor-act): [  6.213e-04 -   6.209e-04 =   4.326e-07] | Step Loss (=Cap/k_fit): [  0.015] | Gains(P,I,D): [4.50e-01, 2.00e-03, 1.00e-01] | PID_Out(P+I+D): [ 0.0067 +  0.0027 + -0.0243 =    -0.0148] @ 2026-02-16 18:52:14.499278 @ Step [1.2717e+00/1.2500e+00]
Cap(theor-act): [  6.231e-04 -   6.199e-04 =   3.256e-06] | Step Loss (=Cap/k_fit): [  0.112] | Gains(P,I,D): [4.50e-01, 2.00e-03, 1.00e-01] | PID_Out(P+I+D): [ 0.0504 +  0.0028 +  0.0194 =    +0.0727] @ 2026-02-16 18:52:15.194098 @ Step [1.3443e+00/1.3125e+00]
Cap(theor-act): [  6.231e-04 -   6.236e-04 =  -4.695e-07] | Step Loss (=Cap/k_fit): [ -0.016] | Gains(P,I,D): [4.50e-01, 2.00e-03, 1.00e-01] | PID_Out(P+I+D): [-0.0073 +  0.0028 + -0.0256 =    -0.0301] @ 2026-02-16 18:52:15.866947 @ Step [1.3142e+00/1.3125e+00]
Cap(theor-act): [  6.249e-04 -   6.227e-04 =   2.253e-06] | Step Loss (=Cap/k_fit): [  0.078] | Gains(P,I,D): [4.50e-01, 2.00e-03, 1.00e-01] | PID_Out(P+I+D): [ 0.0349 +  0.0029 +  0.0187 =    +0.0565] @ 2026-02-16 18:52:16.573462 @ Step [1.3707e+00/1.3750e+00]
Cap(theor-act): [  6.249e-04 -   6.252e-04 =  -2.636e-07] | Step Loss (=Cap/k_fit): [ -0.009] | Gains(P,I,D): [4.50e-01, 2.00e-03, 1.00e-01] | PID_Out(P+I+D): [-0.0041 +  0.0029 + -0.0173 =    -0.0185] @ 2026-02-16 18:52:17.256356 @ Step [1.3522e+00/1.3750e+00]
Cap(theor-act): [  6.268e-04 -   6.238e-04 =   2.963e-06] | Step Loss (=Cap/k_fit): [  0.102] | Gains(P,I,D): [4.50e-01, 2.00e-03, 1.00e-01] | PID_Out(P+I+D): [ 0.0459 +  0.0030 +  0.0222 =    +0.0710] @ 2026-02-16 18:52:17.945479 @ Step [1.4233e+00/1.4375e+00]
Cap(theor-act): [  6.268e-04 -   6.275e-04 =  -7.637e-07] | Step Loss (=Cap/k_fit): [ -0.026] | Gains(P,I,D): [4.50e-01, 2.00e-03, 1.00e-01] | PID_Out(P+I+D): [-0.0118 +  0.0029 + -0.0256 =    -0.0345] @ 2026-02-16 18:52:18.628557 @ Step [1.3887e+00/1.4375e+00]
