"20MHZ, 700mVpp, 100mVdc, time_const 30ms, sen 3mV rms, VDD 3.0, 2/16/2026"
[LOG] SCAN_PART Channel               : R
[LOG] SCAN_PART_1 (Forward 15 points) : k1 = 2.915e-05,	b1 = 5.863e-04
[LOG] SCAN_PART_2 (Backward 15 points): k2 = 2.907e-05,	b2 = 5.868e-04
[LOG] SCAN_TOTAL  (Symmetric)         : k_total = 2.911e-05,	b_total = 5.866e-04
[LOG] HYSTERESIS_AVG: Mean Delta_Cap  (dy) = 5.776e-07
[LOG] HYSTERESIS_AVG: Mean Delta_Step (dx) = 0.0198 steps
Cap(theor-act): [  5.902e-04 -   5.885e-04 =   1.654e-06] | Step Loss (=Cap/k_fit): [  0.057] | Gains(P,I,D): [0.00e+00, 0.00e+00, 0.00e+00] | PID_Out(P+I+D): [ 0.0000 +  0.0000 +  0.0000 =    +0.0000] @ 2026-02-17 13:03:36.776038 @ Step [1.2500e-01/1.2500e-01]
Cap(theor-act): [  5.902e-04 -   5.884e-04 =   1.755e-06] | Step Loss (=Cap/k_fit): [  0.060] | Gains(P,I,D): [0.00e+00, 0.00e+00, 0.00e+00] | PID_Out(P+I+D): [ 0.0000 +  0.0000 +  0.0000 =    +0.0000] @ 2026-02-17 13:03:37.403607 @ Step [1.2500e-01/1.2500e-01]
Cap(theor-act): [  5.902e-04 -   5.889e-04 =   1.352e-06] | Step Loss (=Cap/k_fit): [  0.046] | Gains(P,I,D): [0.00e+00, 0.00e+00, 0.00e+00] | PID_Out(P+I+D): [ 0.0000 +  0.0000 + -0.0000 =    +0.0000] @ 2026-02-17 13:03:38.041656 @ Step [1.2500e-01/1.2500e-01]
Cap(theor-act): [  5.902e-04 -   5.885e-04 =   1.654e-06] | Step Loss (=Cap/k_fit): [  0.057] | Gains(P,I,D): [0.00e+00, 0.00e+00, 0.00e+00] | PID_Out(P+I+D): [ 0.0000 +  0.0000 +  0.0000 =    +0.0000] @ 2026-02-17 13:03:38.661865 @ Step [1.2500e-01/1.2500e-01]
Cap(theor-act): [  5.902e-04 -   5.889e-04 =   1.352e-06] | Step Loss (=Cap/k_fit): [  0.046] | Gains(P,I,D): [0.00e+00, 0.00e+00, 0.00e+00] | PID_Out(P+I+D): [ 0.0000 +  0.0000 + -0.0000 =    +0.0000] @ 2026-02-17 13:03:39.291196 @ Step [1.2500e-01/1.2500e-01]
Cap(theor-act): [  5.902e-04 -   5.888e-04 =   1.453e-06] | Step Loss (=Cap/k_fit): [  0.050] | Gains(P,I,D): [0.00e+00, 0.00e+00, 0.00e+00] | PID_Out(P+I+D): [ 0.0000 +  0.0000 +  0.0000 =    +0.0000] @ 2026-02-17 13:03:39.923406 @ Step [1.2500e-01/1.2500e-01]
Cap(theor-act): [  5.902e-04 -   5.885e-04 =   1.654e-06] | Step Loss (=Cap/k_fit): [  0.057] | Gains(P,I,D): [0.00e+00, 0.00e+00, 0.00e+00] | PID_Out(P+I+D): [ 0.0000 +  0.0000 +  0.0000 =    +0.0000] @ 2026-02-17 13:03:40.572825 @ Step [1.2500e-01/1.2500e-01]
Cap(theor-act): [  5.902e-04 -   5.882e-04 =   1.956e-06] | Step Loss (=Cap/k_fit): [  0.067] | Gains(P,I,D): [0.00e+00, 0.00e+00, 0.00e+00] | PID_Out(P+I+D): [ 0.0000 +  0.0000 +  0.0000 =    +0.0000] @ 2026-02-17 13:03:41.194490 @ Step [1.2500e-01/1.2500e-01]
Cap(theor-act): [  5.902e-04 -   5.879e-04 =   2.258e-06] | Step Loss (=Cap/k_fit): [  0.078] | Gains(P,I,D): [0.00e+00, 0.00e+00, 0.00e+00] | PID_Out(P+I+D): [ 0.0000 +  0.0000 +  0.0000 =    +0.0000] @ 2026-02-17 13:03:41.836560 @ Step [1.2500e-01/1.2500e-01]
Cap(theor-act): [  5.902e-04 -   5.887e-04 =   1.553e-06] | Step Loss (=Cap/k_fit): [  0.053] | Gains(P,I,D): [0.00e+00, 0.00e+00, 0.00e+00] | PID_Out(P+I+D): [ 0.0000 +  0.0000 + -0.0000 =    +0.0000] @ 2026-02-17 13:03:42.472405 @ Step [1.2500e-01/1.2500e-01]
Cap(theor-act): [  5.902e-04 -   5.889e-04 =   1.352e-06] | Step Loss (=Cap/k_fit): [  0.046] | Gains(P,I,D): [0.00e+00, 0.00e+00, 0.00e+00] | PID_Out(P+I+D): [ 0.0000 +  0.0000 + -0.0000 =    +0.0000] @ 2026-02-17 13:03:43.111328 @ Step [1.2500e-01/1.2500e-01]
Cap(theor-act): [  5.902e-04 -   5.887e-04 =   1.553e-06] | Step Loss (=Cap/k_fit): [  0.053] | Gains(P,I,D): [0.00e+00, 0.00e+00, 0.00e+00] | PID_Out(P+I+D): [ 0.0000 +  0.0000 +  0.0000 =    +0.0000] @ 2026-02-17 13:03:43.743695 @ Step [1.2500e-01/1.2500e-01]
Cap(theor-act): [  5.902e-04 -   5.887e-04 =   1.553e-06] | Step Loss (=Cap/k_fit): [  0.053] | Gains(P,I,D): [0.00e+00, 0.00e+00, 0.00e+00] | PID_Out(P+I+D): [ 0.0000 +  0.0000 +  0.0000 =    +0.0000] @ 2026-02-17 13:03:44.365730 @ Step [1.2500e-01/1.2500e-01]
Cap(theor-act): [  5.902e-04 -   5.889e-04 =   1.352e-06] | Step Loss (=Cap/k_fit): [  0.046] | Gains(P,I,D): [0.00e+00, 0.00e+00, 0.00e+00] | PID_Out(P+I+D): [ 0.0000 +  0.0000 + -0.0000 =    +0.0000] @ 2026-02-17 13:03:44.996362 @ Step [1.2500e-01/1.2500e-01]
Cap(theor-act): [  5.902e-04 -   5.882e-04 =   1.956e-06] | Step Loss (=Cap/k_fit): [  0.067] | Gains(P,I,D): [0.00e+00, 0.00e+00, 0.00e+00] | PID_Out(P+I+D): [ 0.0000 +  0.0000 +  0.0000 =    +0.0000] @ 2026-02-17 13:03:45.632978 @ Step [1.2500e-01/1.2500e-01]
Cap(theor-act): [  5.902e-04 -   5.894e-04 =   8.475e-07] | Step Loss (=Cap/k_fit): [  0.029] | Gains(P,I,D): [0.00e+00, 0.00e+00, 0.00e+00] | PID_Out(P+I+D): [ 0.0000 +  0.0000 + -0.0000 =    +0.0000] @ 2026-02-17 13:03:46.261101 @ Step [1.2500e-01/1.2500e-01]
Cap(theor-act): [  5.902e-04 -   5.889e-04 =   1.352e-06] | Step Loss (=Cap/k_fit): [  0.046] | Gains(P,I,D): [0.00e+00, 0.00e+00, 0.00e+00] | PID_Out(P+I+D): [ 0.0000 +  0.0000 +  0.0000 =    +0.0000] @ 2026-02-17 13:03:46.893273 @ Step [1.2500e-01/1.2500e-01]
Cap(theor-act): [  5.902e-04 -   5.884e-04 =   1.755e-06] | Step Loss (=Cap/k_fit): [  0.060] | Gains(P,I,D): [0.00e+00, 0.00e+00, 0.00e+00] | PID_Out(P+I+D): [ 0.0000 +  0.0000 +  0.0000 =    +0.0000] @ 2026-02-17 13:03:47.516993 @ Step [1.2500e-01/1.2500e-01]
Cap(theor-act): [  5.902e-04 -   5.888e-04 =   1.453e-06] | Step Loss (=Cap/k_fit): [  0.050] | Gains(P,I,D): [0.00e+00, 0.00e+00, 0.00e+00] | PID_Out(P+I+D): [ 0.0000 +  0.0000 + -0.0000 =    +0.0000] @ 2026-02-17 13:03:48.150815 @ Step [1.2500e-01/1.2500e-01]
Cap(theor-act): [  5.902e-04 -   5.883e-04 =   1.855e-06] | Step Loss (=Cap/k_fit): [  0.064] | Gains(P,I,D): [0.00e+00, 0.00e+00, 0.00e+00] | PID_Out(P+I+D): [ 0.0000 +  0.0000 +  0.0000 =    +0.0000] @ 2026-02-17 13:03:48.777245 @ Step [1.2500e-01/1.2500e-01]
Cap(theor-act): [  5.902e-04 -   5.878e-04 =   2.359e-06] | Step Loss (=Cap/k_fit): [  0.081] | Gains(P,I,D): [0.00e+00, 0.00e+00, 0.00e+00] | PID_Out(P+I+D): [ 0.0000 +  0.0000 +  0.0000 =    +0.0000] @ 2026-02-17 13:03:49.392773 @ Step [1.2500e-01/1.2500e-01]
Cap(theor-act): [  5.902e-04 -   5.877e-04 =   2.460e-06] | Step Loss (=Cap/k_fit): [  0.084] | Gains(P,I,D): [0.00e+00, 0.00e+00, 0.00e+00] | PID_Out(P+I+D): [ 0.0000 +  0.0000 +  0.0000 =    +0.0000] @ 2026-02-17 13:03:50.025537 @ Step [1.2500e-01/1.2500e-01]
