[LOG] SCAN_PART Channel               : R
[LOG] SCAN_PART_1 (Forward 15 points) : k1 = 8.191e-06,	b1 = 1.697e-04
[LOG] SCAN_PART_2 (Backward 15 points): k2 = 8.212e-06,	b2 = 1.698e-04
[LOG] SCAN_TOTAL  (Symmetric)         : k_total = 8.201e-06,	b_total = 1.698e-04
[LOG] HYSTERESIS_AVG: Mean Delta_Cap  (dy) = 1.766e-07
[LOG] HYSTERESIS_AVG: Mean Delta_Step (dx) = 0.0215 steps
Cap(theor-act): [  1.698e-04 -   1.697e-04 =   8.033e-08] | Step Loss (=Cap/k_fit): [  0.010] | Gains(P,I,D): [2.00e-01, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [ 0.0020 +  0.0084 + -0.0000 =    +0.0103] @ 15:03:05 [PID ADJ        ] @ Step [6.0510e+00]
Cap(theor-act): [  1.698e-04 -   1.697e-04 =   1.003e-07] | Step Loss (=Cap/k_fit): [  0.012] | Gains(P,I,D): [2.00e-01, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [ 0.0024 +  0.0084 +  0.0000 =    +0.0108] @ 15:03:06 [PID ADJ        ] @ Step [6.0618e+00]
Cap(theor-act): [  1.698e-04 -   1.694e-04 =   3.413e-07] | Step Loss (=Cap/k_fit): [  0.042] | Gains(P,I,D): [2.00e-01, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [ 0.0083 +  0.0084 +  0.0001 =    +0.0168] @ 15:03:07 [PID ADJ        ] @ Step [6.0786e+00]
Cap(theor-act): [  1.698e-04 -   1.696e-04 =   1.203e-07] | Step Loss (=Cap/k_fit): [  0.015] | Gains(P,I,D): [2.00e-01, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [ 0.0029 +  0.0084 + -0.0001 =    +0.0112] @ 15:03:09 [PID ADJ        ] @ Step [6.0898e+00]
Cap(theor-act): [  1.698e-04 -   1.697e-04 =   7.033e-08] | Step Loss (=Cap/k_fit): [  0.009] | Gains(P,I,D): [2.00e-01, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [ 0.0017 +  0.0084 + -0.0000 =    +0.0100] @ 15:03:10 [PID ADJ        ] @ Step [6.0998e+00]
Cap(theor-act): [  1.698e-04 -   1.697e-04 =   5.933e-08] | Step Loss (=Cap/k_fit): [  0.007] | Gains(P,I,D): [2.00e-01, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [ 0.0014 +  0.0084 + -0.0000 =    +0.0098] @ 15:03:11 [PID ADJ        ] @ Step [6.1096e+00]
Cap(theor-act): [  1.698e-04 -   1.696e-04 =   1.203e-07] | Step Loss (=Cap/k_fit): [  0.015] | Gains(P,I,D): [2.00e-01, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [ 0.0029 +  0.0084 +  0.0000 =    +0.0113] @ 15:03:12 [PID ADJ        ] @ Step [6.1210e+00]
Cap(theor-act): [  1.698e-04 -   1.696e-04 =   2.003e-07] | Step Loss (=Cap/k_fit): [  0.024] | Gains(P,I,D): [2.00e-01, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [ 0.0049 +  0.0084 +  0.0000 =    +0.0133] @ 15:03:13 [PID ADJ        ] @ Step [6.1343e+00]
Cap(theor-act): [  1.698e-04 -   1.697e-04 =   2.933e-08] | Step Loss (=Cap/k_fit): [  0.004] | Gains(P,I,D): [2.00e-01, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [ 0.0007 +  0.0084 + -0.0001 =    +0.0090] @ 15:03:14 [PID ADJ        ] @ Step [6.1432e+00]
Cap(theor-act): [  1.698e-04 -   1.701e-04 =  -3.227e-07] | Step Loss (=Cap/k_fit): [ -0.039] | Gains(P,I,D): [2.00e-01, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [-0.0079 +  0.0084 + -0.0002 =    +0.0003] @ 15:03:15 [PID ADJ        ] @ Step [6.1435e+00]
Cap(theor-act): [  1.698e-04 -   1.700e-04 =  -2.627e-07] | Step Loss (=Cap/k_fit): [ -0.032] | Gains(P,I,D): [2.00e-01, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [-0.0064 +  0.0084 +  0.0000 =    +0.0020] @ 15:03:17 [PID ADJ        ] @ Step [6.1455e+00]
Cap(theor-act): [  1.698e-04 -   1.703e-04 =  -5.747e-07] | Step Loss (=Cap/k_fit): [ -0.070] | Gains(P,I,D): [2.00e-01, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [-0.0140 +  0.0082 + -0.0002 =    -0.0060] @ 15:03:18 [PID ADJ        ] @ Step [6.1395e+00]
Cap(theor-act): [  1.698e-04 -   1.704e-04 =  -6.047e-07] | Step Loss (=Cap/k_fit): [ -0.074] | Gains(P,I,D): [2.00e-01, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [-0.0147 +  0.0081 + -0.0000 =    -0.0067] @ 15:03:19 [PID ADJ        ] @ Step [6.1328e+00]
Cap(theor-act): [  1.698e-04 -   1.702e-04 =  -4.137e-07] | Step Loss (=Cap/k_fit): [ -0.050] | Gains(P,I,D): [2.00e-01, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [-0.0101 +  0.0080 +  0.0001 =    -0.0020] @ 15:03:20 [PID ADJ        ] @ Step [6.1308e+00]
Cap(theor-act): [  1.698e-04 -   1.701e-04 =  -3.427e-07] | Step Loss (=Cap/k_fit): [ -0.042] | Gains(P,I,D): [2.00e-01, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [-0.0084 +  0.0080 +  0.0000 =    -0.0003] @ 15:03:21 [PID ADJ        ] @ Step [6.1305e+00]
