[LOG] SCAN_PART Channel               : R
[LOG] SCAN_PART_1 (Forward 15 points) : k1 = 2.956e-05,	b1 = 5.865e-04
[LOG] SCAN_PART_2 (Backward 15 points): k2 = 2.935e-05,	b2 = 5.872e-04
[LOG] SCAN_TOTAL  (Symmetric)         : k_total = 2.945e-05,	b_total = 5.868e-04
[LOG] HYSTERESIS_AVG: Mean Delta_Cap  (dy) = 5.907e-07
[LOG] HYSTERESIS_AVG: Mean Delta_Step (dx) = 0.0201 steps
Cap(theor-act): [  6.973e-04 -   6.091e-04 =   8.818e-05] | Step Loss (=Cap/k_fit): [  2.994] | Gains(P,I,D): [5.00e-03, 1.00e-03, 1.00e-02] | PID_Out(P+I+D): [ 0.0150 +  0.0966 + -0.0015 =    +0.1101] @ 21:19:50 [PID ADJ        ] @ Step [6.8086e+00]
Cap(theor-act): [  6.973e-04 -   6.132e-04 =   8.405e-05] | Step Loss (=Cap/k_fit): [  2.854] | Gains(P,I,D): [5.00e-03, 1.00e-03, 1.00e-02] | PID_Out(P+I+D): [ 0.0143 +  0.0994 + -0.0014 =    +0.1123] @ 21:19:51 [PID ADJ        ] @ Step [6.9209e+00]
Cap(theor-act): [  6.973e-04 -   6.167e-04 =   8.053e-05] | Step Loss (=Cap/k_fit): [  2.734] | Gains(P,I,D): [5.00e-03, 1.00e-03, 1.00e-02] | PID_Out(P+I+D): [ 0.0137 +  0.1022 + -0.0012 =    +0.1147] @ 21:19:52 [PID ADJ        ] @ Step [7.0355e+00]
Cap(theor-act): [  6.973e-04 -   6.173e-04 =   8.002e-05] | Step Loss (=Cap/k_fit): [  2.717] | Gains(P,I,D): [5.00e-03, 1.00e-03, 1.00e-02] | PID_Out(P+I+D): [ 0.0136 +  0.1049 + -0.0002 =    +0.1183] @ 21:19:53 [PID ADJ        ] @ Step [7.1538e+00]
Cap(theor-act): [  6.973e-04 -   6.192e-04 =   7.811e-05] | Step Loss (=Cap/k_fit): [  2.652] | Gains(P,I,D): [5.00e-03, 1.00e-03, 1.00e-02] | PID_Out(P+I+D): [ 0.0133 +  0.1075 + -0.0006 =    +0.1202] @ 21:19:55 [PID ADJ        ] @ Step [7.2740e+00]
Cap(theor-act): [  6.973e-04 -   6.238e-04 =   7.348e-05] | Step Loss (=Cap/k_fit): [  2.495] | Gains(P,I,D): [5.00e-03, 1.00e-03, 1.00e-02] | PID_Out(P+I+D): [ 0.0125 +  0.1100 + -0.0016 =    +0.1209] @ 21:19:56 [PID ADJ        ] @ Step [7.3949e+00]
Cap(theor-act): [  6.973e-04 -   6.293e-04 =   6.794e-05] | Step Loss (=Cap/k_fit): [  2.307] | Gains(P,I,D): [5.00e-03, 1.00e-03, 1.00e-02] | PID_Out(P+I+D): [ 0.0115 +  0.1123 + -0.0019 =    +0.1220] @ 21:19:57 [PID ADJ        ] @ Step [7.5169e+00]
Cap(theor-act): [  6.973e-04 -   6.320e-04 =   6.532e-05] | Step Loss (=Cap/k_fit): [  2.218] | Gains(P,I,D): [5.00e-03, 1.00e-03, 1.00e-02] | PID_Out(P+I+D): [ 0.0111 +  0.1146 + -0.0009 =    +0.1248] @ 21:19:58 [PID ADJ        ] @ Step [7.6417e+00]
Cap(theor-act): [  6.973e-04 -   6.353e-04 =   6.200e-05] | Step Loss (=Cap/k_fit): [  2.105] | Gains(P,I,D): [5.00e-03, 1.00e-03, 1.00e-02] | PID_Out(P+I+D): [ 0.0105 +  0.1167 + -0.0011 =    +0.1261] @ 21:19:59 [PID ADJ        ] @ Step [7.7678e+00]
Cap(theor-act): [  6.973e-04 -   6.417e-04 =   5.555e-05] | Step Loss (=Cap/k_fit): [  1.886] | Gains(P,I,D): [5.00e-03, 1.00e-03, 1.00e-02] | PID_Out(P+I+D): [ 0.0094 +  0.1186 + -0.0022 =    +0.1258] @ 21:20:00 [PID ADJ        ] @ Step [7.8936e+00]
