[LOG] SCAN_PART Channel               : R
[LOG] SCAN_PART_1 (Forward 15 points) : k1 = 8.159e-06,	b1 = 1.678e-04
[LOG] SCAN_PART_2 (Backward 15 points): k2 = 8.184e-06,	b2 = 1.675e-04
[LOG] SCAN_TOTAL  (Symmetric)         : k_total = 8.171e-06,	b_total = 1.676e-04
[LOG] HYSTERESIS_AVG: Mean Delta_Cap  (dy) = 2.725e-07
[LOG] HYSTERESIS_AVG: Mean Delta_Step (dx) = 0.0334 steps
Cap(theor-act): [  1.983e-04 -   1.819e-04 =   1.633e-05] | Step Loss (=Cap/k_fit): [  1.999] | Gains(P,I,D): [5.00e-03, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [ 0.0100 +  0.3087 + -0.0017 =    +0.3171] @ 01:09:29 [PID ADJ        ] @ Step [1.1058e+01]
Cap(theor-act): [  1.983e-04 -   1.838e-04 =   1.446e-05] | Step Loss (=Cap/k_fit): [  1.770] | Gains(P,I,D): [5.00e-03, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [ 0.0088 +  0.3123 + -0.0011 =    +0.3200] @ 01:09:30 [PID ADJ        ] @ Step [1.1378e+01]
Cap(theor-act): [  1.983e-04 -   1.865e-04 =   1.175e-05] | Step Loss (=Cap/k_fit): [  1.438] | Gains(P,I,D): [5.00e-03, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [ 0.0072 +  0.3151 + -0.0017 =    +0.3207] @ 01:09:31 [PID ADJ        ] @ Step [1.1699e+01]
Cap(theor-act): [  1.983e-04 -   1.888e-04 =   9.424e-06] | Step Loss (=Cap/k_fit): [  1.153] | Gains(P,I,D): [5.00e-03, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [ 0.0058 +  0.3174 + -0.0014 =    +0.3218] @ 01:09:32 [PID ADJ        ] @ Step [1.2020e+01]
Cap(theor-act): [  1.983e-04 -   1.919e-04 =   6.352e-06] | Step Loss (=Cap/k_fit): [  0.777] | Gains(P,I,D): [5.00e-03, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [ 0.0039 +  0.3190 + -0.0019 =    +0.3210] @ 01:09:33 [PID ADJ        ] @ Step [1.2341e+01]
Cap(theor-act): [  1.983e-04 -   1.948e-04 =   3.452e-06] | Step Loss (=Cap/k_fit): [  0.422] | Gains(P,I,D): [5.00e-03, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [ 0.0021 +  0.3198 + -0.0018 =    +0.3202] @ 01:09:34 [PID ADJ        ] @ Step [1.2662e+01]
Cap(theor-act): [  1.983e-04 -   1.976e-04 =   6.421e-07] | Step Loss (=Cap/k_fit): [  0.079] | Gains(P,I,D): [5.00e-03, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [ 0.0004 +  0.3200 + -0.0017 =    +0.3187] @ 01:09:35 [PID ADJ        ] @ Step [1.2980e+01]
Cap(theor-act): [  1.983e-04 -   2.006e-04 =  -2.329e-06] | Step Loss (=Cap/k_fit): [ -0.285] | Gains(P,I,D): [5.00e-03, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [-0.0014 +  0.3194 + -0.0018 =    +0.3162] @ 01:09:37 [PID ADJ        ] @ Step [1.3296e+01]
Cap(theor-act): [  1.983e-04 -   2.027e-04 =  -4.464e-06] | Step Loss (=Cap/k_fit): [ -0.546] | Gains(P,I,D): [5.00e-03, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [-0.0027 +  0.3183 + -0.0013 =    +0.3143] @ 01:09:38 [PID ADJ        ] @ Step [1.3611e+01]
Cap(theor-act): [  1.983e-04 -   2.050e-04 =  -6.780e-06] | Step Loss (=Cap/k_fit): [ -0.830] | Gains(P,I,D): [5.00e-03, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [-0.0041 +  0.3167 + -0.0014 =    +0.3111] @ 01:09:39 [PID ADJ        ] @ Step [1.3922e+01]
Cap(theor-act): [  1.983e-04 -   2.086e-04 =  -1.034e-05] | Step Loss (=Cap/k_fit): [ -1.266] | Gains(P,I,D): [5.00e-03, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [-0.0063 +  0.3141 + -0.0022 =    +0.3056] @ 01:09:40 [PID ADJ        ] @ Step [1.4227e+01]
Cap(theor-act): [  1.983e-04 -   2.096e-04 =  -1.130e-05] | Step Loss (=Cap/k_fit): [ -1.383] | Gains(P,I,D): [5.00e-03, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [-0.0069 +  0.3114 + -0.0006 =    +0.3039] @ 01:09:41 [PID ADJ        ] @ Step [1.4531e+01]
Cap(theor-act): [  1.983e-04 -   2.117e-04 =  -1.344e-05] | Step Loss (=Cap/k_fit): [ -1.644] | Gains(P,I,D): [5.00e-03, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [-0.0082 +  0.3081 + -0.0013 =    +0.2986] @ 01:09:42 [PID ADJ        ] @ Step [1.4830e+01]
Cap(theor-act): [  1.983e-04 -   2.157e-04 =  -1.741e-05] | Step Loss (=Cap/k_fit): [ -2.131] | Gains(P,I,D): [5.00e-03, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [-0.0107 +  0.3038 + -0.0024 =    +0.2907] @ 01:09:43 [PID ADJ        ] @ Step [1.5121e+01]
Cap(theor-act): [  1.983e-04 -   2.172e-04 =  -1.900e-05] | Step Loss (=Cap/k_fit): [ -2.325] | Gains(P,I,D): [5.00e-03, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [-0.0116 +  0.2992 + -0.0010 =    +0.2866] @ 01:09:45 [PID ADJ        ] @ Step [1.5407e+01]
Cap(theor-act): [  1.983e-04 -   2.203e-04 =  -2.210e-05] | Step Loss (=Cap/k_fit): [ -2.704] | Gains(P,I,D): [5.00e-03, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [-0.0135 +  0.2938 + -0.0019 =    +0.2784] @ 01:09:46 [PID ADJ        ] @ Step [1.5686e+01]
Cap(theor-act): [  1.983e-04 -   2.222e-04 =  -2.390e-05] | Step Loss (=Cap/k_fit): [ -2.925] | Gains(P,I,D): [5.00e-03, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [-0.0146 +  0.2879 + -0.0011 =    +0.2722] @ 01:09:47 [PID ADJ        ] @ Step [1.5958e+01]
Cap(theor-act): [  1.983e-04 -   2.252e-04 =  -2.697e-05] | Step Loss (=Cap/k_fit): [ -3.301] | Gains(P,I,D): [5.00e-03, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [-0.0165 +  0.2813 + -0.0019 =    +0.2629] @ 01:09:48 [PID ADJ        ] @ Step [1.6221e+01]
Cap(theor-act): [  1.983e-04 -   2.262e-04 =  -2.796e-05] | Step Loss (=Cap/k_fit): [ -3.422] | Gains(P,I,D): [5.00e-03, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [-0.0171 +  0.2745 + -0.0006 =    +0.2568] @ 01:09:49 [PID ADJ        ] @ Step [1.6477e+01]
Cap(theor-act): [  1.983e-04 -   2.287e-04 =  -3.050e-05] | Step Loss (=Cap/k_fit): [ -3.732] | Gains(P,I,D): [5.00e-03, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [-0.0187 +  0.2670 + -0.0016 =    +0.2468] @ 01:09:50 [PID ADJ        ] @ Step [1.6724e+01]
Cap(theor-act): [  1.983e-04 -   2.310e-04 =  -3.272e-05] | Step Loss (=Cap/k_fit): [ -4.005] | Gains(P,I,D): [5.00e-03, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [-0.0200 +  0.2590 + -0.0014 =    +0.2376] @ 01:09:51 [PID ADJ        ] @ Step [1.6962e+01]
Cap(theor-act): [  1.983e-04 -   2.333e-04 =  -3.509e-05] | Step Loss (=Cap/k_fit): [ -4.294] | Gains(P,I,D): [5.00e-03, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [-0.0215 +  0.2504 + -0.0014 =    +0.2275] @ 01:09:53 [PID ADJ        ] @ Step [1.7189e+01]
